Experiment Index,Algorithm,Data Type,Size,Structure,Trial,Time(ms)
3,BubbleSortUntilNoChange,int,100,averageCase,88,0.02
3,BubbleSortUntilNoChange,int,100,averageCase,89,0.02
3,BubbleSortUntilNoChange,int,100,averageCase,90,0.02
3,BubbleSortUntilNoChange,int,100,averageCase,91,0.02
3,BubbleSortUntilNoChange,int,100,averageCase,92,0.02
3,BubbleSortUntilNoChange,int,100,averageCase,93,0.02
3,BubbleSortUntilNoChange,int,100,averageCase,94,0.02
3,BubbleSortUntilNoChange,int,100,averageCase,95,0.02
3,BubbleSortUntilNoChange,int,100,averageCase,96,0.02
3,BubbleSortUntilNoChange,int,100,averageCase,97,0.02
3,BubbleSortUntilNoChange,int,100,averageCase,98,0.02
3,BubbleSortUntilNoChange,int,100,averageCase,99,0.02
3,BubbleSortUntilNoChange,int,100,averageCase,100,0.02
4,BubbleSortUntilNoChange,int,1000,bestCase,1,0.00
4,BubbleSortUntilNoChange,int,1000,bestCase,2,0.00
4,BubbleSortUntilNoChange,int,1000,bestCase,3,0.00
4,BubbleSortUntilNoChange,int,1000,bestCase,4,0.00
4,BubbleSortUntilNoChange,int,1000,bestCase,5,0.00
4,BubbleSortUntilNoChange,int,1000,bestCase,6,0.00
4,BubbleSortUntilNoChange,int,1000,bestCase,7,0.00
4,BubbleSortUntilNoChange,int,1000,bestCase,8,0.00
4,BubbleSortUntilNoChange,int,1000,bestCase,9,0.00
4,BubbleSortUntilNoChange,int,1000,bestCase,10,0.00
4,BubbleSortUntilNoChange,int,1000,bestCase,11,0.00
4,BubbleSortUntilNoChange,int,1000,bestCase,12,0.00
4,BubbleSortUntilNoChange,int,1000,bestCase,13,0.00
4,BubbleSortUntilNoChange,int,1000,bestCase,14,0.00
4,BubbleSortUntilNoChange,int,1000,bestCase,15,0.00
4,BubbleSortUntilNoChange,int,1000,bestCase,16,0.00
4,BubbleSortUntilNoChange,int,1000,bestCase,17,0.00
4,BubbleSortUntilNoChange,int,1000,bestCase,18,0.00
4,BubbleSortUntilNoChange,int,1000,bestCase,19,0.00
4,BubbleSortUntilNoChange,int,1000,bestCase,20,0.00
4,BubbleSortUntilNoChange,int,1000,bestCase,21,0.00
4,BubbleSortUntilNoChange,int,1000,bestCase,22,0.00
4,BubbleSortUntilNoChange,int,1000,bestCase,23,0.00
4,BubbleSortUntilNoChange,int,1000,bestCase,24,0.00
4,BubbleSortUntilNoChange,int,1000,bestCase,25,0.00
